# ----------------------------------------
# Páginas e telas: Título da página e nome da tela
# Conta: Viva Fidelidade
# Propriedade: Viva Fidelidade 1.5
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20260524
Título da página e nome da tela,Página de destino + string de consulta,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
(not set),/selectTrip?originCode=50138&origin=SAO%20LUIS%20-%20MA&destinationCode=50039&destination=TERESINA%20-%20PI&departureDate=2026-01-26,32,3,10.666666666666666,91,58,3,0
(not set),/selectTrip?originCode=BARRA%20MANSA%20-%20RJ&destinationCode=VALENCA%20-%20RJ&departureDate=2025-04-16,32,1,32,1022,77,14,0
(not set),/selectTrip?originCode=FORTALEZA%20-%20CE&destinationCode=JUAZEIRO%20DO%20NORTE%20-%20CE&departureDate=2025-04-29,32,1,32,306,55,19,0
(not set),/selectTrip?originCode=SEABRA%20-%20BA&destinationCode=SALVADOR%20-%20BA&departureDate=2024-11-12,32,2,16,656.5,75,13,0
Home - Viva Fidelidade,/central-de-ajuda/,32,29,1.103448275862069,3.0689655172413794,90,0,0
Página não encontrada - Viva Fidelidade,/central-de-ajuda/,32,20,1.6,5.2,113,0,0
(not set),/selectTrip?originCode=50039&origin=TERESINA%20-%20PI&destinationCode=50604&destination=FORTALEZA%20-%20CE&departureDate=2026-04-20,31,2,15.5,682.5,65,10,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=48679&destination=SOBRAL%20-%20CE&departureDate=2025-07-15,31,1,31,552,76,5,0
(not set),/selectTrip?originCode=50604&origin=FORTALEZA%20-%20CE&destinationCode=48947&destination=MOSSORO%20-%20RN&departureDate=2025-11-28,31,1,31,584,79,10,0
(not set),/selectTrip?originCode=IMPERATRIZ%20-%20MA&destinationCode=GOIANIA%20-%20GO&departureDate=2025-02-09,31,1,31,519,47,10,0
(not set),/selectTrip?originCode=SEABRA%20-%20BA&destinationCode=SALVADOR%20-%20BA&departureDate=2025-06-06,31,1,31,817,60,13,0
(not set),/selectTrip?originCode=42951&origin=FORTALEZA%20(TA%20ANTONIO%20BEZERRA)%20-%20CE&destinationCode=48679&destination=SOBRAL%20-%20CE&departureDate=2026-05-08,30,1,30,515,56,5,0
(not set),/selectTrip?originCode=46272&origin=CHAPADINHA%20-%20MA&destinationCode=50138&destination=SAO%20LUIS%20-%20MA&departureDate=2026-05-20,30,1,30,441,53,6,0
